ID,What is your age,What is your gender identity,Other (please specify)...4,American Indian or Alaska Native,Asian or Asian American,Black or African American,Hispanic or Latino,Middle Eastern or North African,Native Hawaiian or other Pacific Islander,White,Another race,Other (please specify)...13,In what state or U.S. territory do you live?,What is the geography of your place of residence?,Which of the following best describes your current relationship status?,What is the highest level of education you have completed?,Protestantism,Catholicism,Christianity,Judaism,Islam,Buddhism,Hinduism,Native American,Inter/Non-denominational,No religion,Other (please specify)...28,Peer_0001,Peer_0002,Peer_0003,Peer_0004,Peer_0005,Peer_0006,Peer_0007,Peer_0008,Peer_0009,Peer_0010,Peer_0011,Peer_0012,Mentor_0001,Mentor_0002,Mentor_0003,Mentor_0004,Mentor_0005,Mentor_0006,Mentor_0007,Mentor_0008,Mentor_0009,Mentor_0010,Mentor_0011,Community_0001,Community_0002,Community_0003,Community_0004,Community_0005,Community_0006,Community_0007,Community_0008,Community_0009,Community_0010,Community_0011,Community_0012,Community_0013,Community_0014,Loneliness_0001,Loneliness_0002,Loneliness_0003,Loneliness_0004,Loneliness_0005,Loneliness_0006,Loneliness_0007,Loneliness_0008,Loneliness_0009,Loneliness_0010,Loneliness_0011
115056444464,33,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,North Carolina,Suburban,"Single, never married",Graduated from college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,NA,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,2
115056470320,36,Cisgender woman,NA,American Indian or Alaska Native,NA,Black or African American,Hispanic or Latino,NA,NA,NA,NA,NA,Maryland,Suburban,"Single, never married",Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,4,4,3,4,3,4,3,2,3,3,4,3,3,4,2,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,3,4,4,4,3,4,3,4,2,1,3,1,3,2,3,2,2,3
115056464895,61,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Texas,Urban,"Single, never married",Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,2,4,3,2,4,2,NA,4,3,2,1,4,4,4,2,3,2,4,3,3,4,4,3,1,1,1,3,3,3,4,2,5,5,3,2,4,1,2,5,4,1,5,5,1,1,5,1,2
115056503703,71,Non-binary,Male.,NA,NA,NA,NA,NA,NA,NA,NA,Caucasian and Moroccan,Ohio,Rural,Married,1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Follower of Jesus,2,3,2,2,2,2,3,4,1,4,2,1,2,2,2,2,1,3,3,1,1,2,1,2,2,1,4,2,1,2,2,4,1,2,2,4,1,2,4,4,2,4,4,2,2,4,4,1
115056455365,46,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Alabama,Rural,"Single, never married",Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115056477341,33,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Suburban,"Single, never married",1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,3,4,3,4,2,3,4,2,3,3,3,2,3,4,4,4,3,3,4,4,4,3,3,3,3,2,1,3,3,1,4,3,3,2,2,2,2,4,3,2,3,2,3,2,3,3,2,4
115056492123,22,Transgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,New York,Urban,Cohabiting with a significant other or in a domestic partnership,1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,4,NA,5,5,5,4,4,3,4,5,4,5,3,4,3,3,3,3,3,3,4,3,3,3,4,NA,2,2,3,3,2,3,3,4,3,4,3,4,1,2,4,2,1,4,4,2,2,4
115056545841,54,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Separated,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,1,3,4,4,4,5,5,4,4,2,5,3,4,4,5,5,3,3,3,1,3,4,1,4,2,1,4,3,3,4,5,3,1,5,1,4,5,5,2,1,4
115056517193,32,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Virginia,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,4,5,4,4,3,4,3,4,4,5,4,3,4,4,4,5,3,3,3,4,3,4,3,3,3,2,1,3,3,2,4,1,2,3,3,2,3,4,3,1,3,4,5,3,3,4,2,4
115056474677,25,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,Georgia,Suburban,"Single, never married",Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,4,2,3,2,3,3,2,3,3,4,3,4,3,4,3,3,4,4,3,2,3,4,2,3,4,2,4,2,3,3,4,3,3,3,2,3,3,3,2,3,3,2,2,4
